"","Zip","City","State","Latitude","Longitude","Timezone","Daylight savings time flag","geopoint"
"1","47338","Eaton","IN",40.339779,-85.34956,-5,0,"40.339779,-85.34956"
"2","84722","Central","UT",37.416058,-113.62554,-7,1,"37.416058,-113.62554"
"3","42740","Glendale","KY",37.59641,-85.92294,-5,1,"37.59641,-85.92294"
"4","47429","Ellettsville","IN",39.245995,-86.62275,-5,0,"39.245995,-86.62275"
"5","46376","Schneider","IN",41.176325,-87.46426,-6,1,"41.176325,-87.46426"
"6","41348","Lost Creek","KY",37.426337,-83.29911,-5,1,"37.426337,-83.29911"
"7","41601","Allen","KY",37.611434,-82.72503,-5,1,"37.611434,-82.72503"
"8","42355","Maceo","KY",37.86975,-86.99535,-6,1,"37.86975,-86.99535"
"9","42378","Whitesville","KY",37.666515,-86.86454,-6,1,"37.666515,-86.86454"
"10","47465","Switz City","IN",39.039348,-87.04871,-5,0,"39.039348,-87.04871"
"11","47711","Evansville","IN",38.000442,-87.54178,-6,1,"38.000442,-87.54178"
"12","47937","Crawfordsville","IN",40.040014,-86.893614,-5,0,"40.040014,-86.893614"
"13","40501","Lexington","KY",38.037847,-84.61645,-5,1,"38.037847,-84.61645"
"14","41561","Rockhouse","KY",37.33162,-82.462574,-5,1,"37.33162,-82.462574"
"15","41640","Hueysville","KY",37.493888,-82.94192,-5,1,"37.493888,-82.94192"
"16","42063","Lynnville","KY",36.723872,-88.652009,-6,1,"36.723872,-88.652009"
"17","40447","McKee","KY",37.457017,-84.03435,-5,1,"37.457017,-84.03435"
"18","46913","Bringhurst","IN",40.507086,-86.50127,-5,0,"40.507086,-86.50127"
"19","46971","Grissom AFB","IN",40.780955,-86.016441,-5,0,"40.780955,-86.016441"
"20","47975","Pine Village","IN",40.448708,-87.25568,-5,0,"40.448708,-87.25568"
"21","40826","Eolia","KY",37.048238,-82.81775,-5,1,"37.048238,-82.81775"
"22","47245","Hayden","IN",39.001301,-85.619906,-5,0,"39.001301,-85.619906"
"23","84079","Vernal","UT",40.160179,-109.547839,-7,1,"40.160179,-109.547839"
"24","40353","Mount Sterling","KY",38.061248,-83.92964,-5,1,"38.061248,-83.92964"
"25","41137","Firebrick","KY",38.688142,-83.04838,-5,1,"38.688142,-83.04838"
"26","41833","Linefork","KY",37.021403,-82.98159,-5,1,"37.021403,-82.98159"
"27","41844","Pippa Passes","KY",37.334629,-82.87549,-5,1,"37.334629,-82.87549"
"28","47038","Patriot","IN",38.855749,-84.83861,-5,0,"38.855749,-84.83861"
"29","47881","Staunton","IN",39.487119,-87.18939,-5,0,"39.487119,-87.18939"
"30","40296","Louisville","KY",38.188962,-85.676819,-5,1,"38.188962,-85.676819"
"31","47167","Salem","IN",38.605039,-86.08928,-5,0,"38.605039,-86.08928"
"32","47735","Evansville","IN",37.997128,-87.574963,-6,1,"37.997128,-87.574963"
"33","84322","Logan","UT",41.641189,-111.896571,-7,1,"41.641189,-111.896571"
"34","40360","Owingsville","KY",38.152302,-83.76603,-5,1,"38.152302,-83.76603"
"35","41017","Ft Mitchell","KY",39.036361,-84.56801,-5,1,"39.036361,-84.56801"
"36","41093","Wallingford","KY",38.37106,-83.57103,-5,1,"38.37106,-83.57103"
"37","42069","Melber","KY",36.921462,-88.75871,-6,1,"36.921462,-88.75871"
"38","46394","Whiting","IN",41.679185,-87.50015,-6,1,"41.679185,-87.50015"
"39","46825","Fort Wayne","IN",41.150677,-85.12181,-5,0,"41.150677,-85.12181"
"40","46725","Columbia City","IN",41.166034,-85.48313,-5,0,"41.166034,-85.48313"
"41","40452","Mitchellsburg","KY",37.603345,-84.94918,-5,1,"37.603345,-84.94918"
"42","47471","Worthington","IN",39.123925,-86.9845,-5,0,"39.123925,-86.9845"
"43","40201","Louisville","KY",38.188962,-85.676819,-5,1,"38.188962,-85.676819"
"44","41465","Salyersville","KY",37.736751,-83.08652,-5,1,"37.736751,-83.08652"
"45","41567","Stone","KY",37.560929,-82.28796,-5,1,"37.560929,-82.28796"
"46","42633","Monticello","KY",36.801922,-84.82841,-5,1,"36.801922,-84.82841"
"47","40294","Louisville","KY",38.188962,-85.676819,-5,1,"38.188962,-85.676819"
"48","46055","McCordsville","IN",39.898378,-85.9159,-5,0,"39.898378,-85.9159"
"49","46714","Bluffton","IN",40.728816,-85.16565,-5,0,"40.728816,-85.16565"
"50","40873","Wallins Creek","KY",36.823334,-83.41058,-5,1,"36.823334,-83.41058"
"51","47030","Metamora","IN",39.428752,-85.13141,-5,0,"39.428752,-85.13141"
"52","42755","Leitchfield","KY",37.471943,-86.343941,-6,1,"37.471943,-86.343941"
"53","46411","Merrillville","IN",41.461543,-87.372779,-6,1,"41.461543,-87.372779"
"54","84701","Richfield","UT",38.765929,-112.08397,-7,1,"38.765929,-112.08397"
"55","42558","Tateville","KY",36.94919,-84.581482,-5,1,"36.94919,-84.581482"
"56","47011","Bennington","IN",38.848761,-85.07263,-5,0,"38.848761,-85.07263"
"57","47737","Evansville","IN",37.997128,-87.574963,-6,1,"37.997128,-87.574963"
"58","47345","Greens Fork","IN",39.883711,-85.04618,-5,0,"39.883711,-85.04618"
"59","41234","Meally","KY",37.795418,-82.7337,-5,1,"37.795418,-82.7337"
"60","41421","Elkfork","KY",37.997666,-83.16103,-5,1,"37.997666,-83.16103"
"61","84774","Toquerville","UT",37.250749,-113.27491,-7,1,"37.250749,-113.27491"
"62","47935","Crawfordsville","IN",40.040014,-86.893614,-5,0,"40.040014,-86.893614"
"63","47308","Muncie","IN",40.227938,-85.396685,-5,0,"40.227938,-85.396685"
"64","47868","Poland","IN",39.414547,-86.90202,-5,0,"39.414547,-86.90202"
"65","40293","Louisville","KY",38.188962,-85.676819,-5,1,"38.188962,-85.676819"
"66","40546","Lexington","KY",38.028269,-84.471505,-5,1,"38.028269,-84.471505"
"67","46581","Warsaw","IN",41.239365,-85.864267,-5,0,"41.239365,-85.864267"
"68","46760","Kimmell","IN",41.359626,-85.56204,-5,0,"41.359626,-85.56204"
"69","47017","Cross Plains","IN",38.93049,-85.19406,-5,0,"38.93049,-85.19406"
"70","47359","Montpelier","IN",40.550511,-85.28118,-5,0,"40.550511,-85.28118"
"71","84119","Salt Lake City","UT",40.696596,-111.95239,-7,1,"40.696596,-111.95239"
"72","40319","Farmers","KY",38.140258,-83.533691,-5,1,"38.140258,-83.533691"
"73","40843","Holmes Mill","KY",36.868363,-82.96607,-5,1,"36.868363,-82.96607"
"74","41086","Sparta","KY",38.709838,-84.88807,-5,1,"38.709838,-84.88807"
"75","42516","Bethelridge","KY",37.191504,-84.79832,-5,1,"37.191504,-84.79832"
"76","84085","Whiterocks","UT",40.529949,-109.91425,-7,1,"40.529949,-109.91425"
"77","42216","Clifty","KY",37.004492,-87.152148,-6,1,"37.004492,-87.152148"
"78","42253","Science Hill","KY",37.17925,-84.633915,-5,1,"37.17925,-84.633915"
"79","84067","Roy","UT",41.173226,-112.05093,-7,1,"41.173226,-112.05093"
"80","40376","Slade","KY",37.78422,-83.69224,-5,1,"37.78422,-83.69224"
"81","40742","London","KY",37.137615,-84.115617,-5,1,"37.137615,-84.115617"
"82","84023","Dutch John","UT",40.881951,-109.46319,-7,1,"40.881951,-109.46319"
"83","84065","Riverton","UT",40.503746,-111.96327,-7,1,"40.503746,-111.96327"
"84","84148","Salt Lake City","UT",40.756796,-111.837567,-7,1,"40.756796,-111.837567"
"85","42076","New Concord","KY",36.540753,-88.06837,-6,1,"36.540753,-88.06837"
"86","47634","Richland","IN",37.93889,-87.19167,-6,1,"37.93889,-87.19167"
"87","40037","Loretto","KY",37.652712,-85.41337,-5,1,"37.652712,-85.41337"
"88","40442","Kings Mountain","KY",37.351449,-84.7219,-5,1,"37.351449,-84.7219"
"89","84064","Randolph","UT",41.656963,-111.16584,-7,1,"41.656963,-111.16584"
"90","46201","Indianapolis","IN",39.775125,-86.10839,-5,0,"39.775125,-86.10839"
"91","84821","Logan","UT",41.717612,-111.868898,-7,1,"41.717612,-111.868898"
"92","84080","Vernon","UT",40.105195,-112.31673,-7,1,"40.105195,-112.31673"
"93","84715","Bicknell","UT",38.338787,-111.54921,-7,1,"38.338787,-111.54921"
"94","46967","Onward","IN",40.694298,-86.204238,-5,0,"40.694298,-86.204238"
"95","42025","Benton","KY",36.854812,-88.33515,-6,1,"36.854812,-88.33515"
"96","41862","Topmost","KY",37.357624,-82.79564,-5,1,"37.357624,-82.79564"
"97","40312","Clay City","KY",37.846536,-83.9343,-5,1,"37.846536,-83.9343"
"98","47837","Carbon","IN",39.625607,-87.11502,-5,0,"39.625607,-87.11502"
"99","40386","Versailles","KY",38.021292,-84.745488,-5,1,"38.021292,-84.745488"
"100","42123","Austin","KY",36.820727,-86.00112,-6,1,"36.820727,-86.00112"
"101","40468","Perryville","KY",37.65487,-84.98037,-5,1,"37.65487,-84.98037"
"102","46852","Fort Wayne","IN",41.093763,-85.070713,-5,0,"41.093763,-85.070713"
"103","40524","Lexington","KY",38.028269,-84.471505,-5,1,"38.028269,-84.471505"
"104","46154","Maxwell","IN",39.856763,-85.768357,-5,0,"39.856763,-85.768357"
"105","47997","Yeoman","IN",40.667985,-86.7225,-5,0,"40.667985,-86.7225"
"106","41073","Bellevue","KY",39.103011,-84.47987,-5,1,"39.103011,-84.47987"
"107","46222","Indianapolis","IN",39.786793,-86.21093,-5,0,"39.786793,-86.21093"
"108","84510","Aneth","UT",37.198216,-109.11245,-7,1,"37.198216,-109.11245"
"109","47586","Tell City","IN",37.971622,-86.73903,-5,0,"37.971622,-86.73903"
"110","40755","Pittsburg","KY",37.167752,-84.116614,-5,1,"37.167752,-84.116614"
"111","47553","Loogootee","IN",38.702827,-86.89775,-5,0,"38.702827,-86.89775"
"112","84056","Hill AFB","UT",41.118815,-112.01151,-7,1,"41.118815,-112.01151"
"113","84667","Wales","UT",39.458682,-111.67126,-7,1,"39.458682,-111.67126"
"114","46806","Fort Wayne","IN",41.048148,-85.11114,-5,0,"41.048148,-85.11114"
"115","46171","Reelsville","IN",39.525112,-86.95994,-5,0,"39.525112,-86.95994"
"116","46938","Jonesboro","IN",40.468157,-85.63456,-5,0,"40.468157,-85.63456"
"117","47573","Ragsdale","IN",38.744136,-87.321357,-5,0,"38.744136,-87.321357"
"118","42303","Owensboro","KY",37.758568,-87.08714,-6,1,"37.758568,-87.08714"
"119","47733","Evansville","IN",37.997128,-87.574963,-6,1,"37.997128,-87.574963"
"120","47958","Mellott","IN",40.163921,-87.14796,-5,0,"40.163921,-87.14796"
"121","41571","Varney","KY",37.625031,-82.38704,-5,1,"37.625031,-82.38704"
"122","84649","Oak City","UT",39.370295,-112.32369,-7,1,"39.370295,-112.32369"
"123","41824","Isom","KY",37.194426,-82.88714,-5,1,"37.194426,-82.88714"
"124","42782","Summersville","KY",37.349798,-85.64536,-6,1,"37.349798,-85.64536"
"125","42352","Livermore","KY",37.502836,-87.11162,-6,1,"37.502836,-87.11162"
"126","42437","Morganfield","KY",37.67416,-87.90199,-6,1,"37.67416,-87.90199"
"127","40844","Hoskinston","KY",37.058837,-83.38533,-5,1,"37.058837,-83.38533"
"128","46784","Rome City","IN",41.493637,-85.37745,-5,0,"41.493637,-85.37745"
"129","41204","Boons Camp","KY",37.81711,-82.68897,-5,1,"37.81711,-82.68897"
"130","42031","Clinton","KY",36.678217,-88.97559,-6,1,"36.678217,-88.97559"
"131","42058","Ledbetter","KY",37.054715,-88.48043,-6,1,"37.054715,-88.48043"
"132","46383","Valparaiso","IN",41.47339,-87.03165,-6,1,"41.47339,-87.03165"
"133","47872","Rockville","IN",39.758142,-87.1754,-5,0,"39.758142,-87.1754"
"134","47741","Evansville","IN",37.997128,-87.574963,-6,1,"37.997128,-87.574963"
"135","46275","Indianapolis","IN",39.779492,-86.132837,-5,0,"39.779492,-86.132837"
"136","41702","Hazard","KY",37.320076,-83.206495,-5,1,"37.320076,-83.206495"
"137","47107","Bradford","IN",38.190314,-86.115257,-5,1,"38.190314,-86.115257"
"138","40065","Shelbyville","KY",38.211511,-85.21658,-5,1,"38.211511,-85.21658"
"139","47393","Williamsburg","IN",39.953627,-84.99542,-5,0,"39.953627,-84.99542"
"140","46366","North Judson","IN",41.212184,-86.77019,-5,0,"41.212184,-86.77019"
"141","46130","Fountaintown","IN",39.680058,-85.83363,-5,0,"39.680058,-85.83363"
